Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CSV_TestSuite,Chrome 90.0.4430.212,,,2021-05-29 20:48:37,2021-05-29 20:51:15,2m - 38.434s,FAILED
,,,,,,,
Test Cases/CSV-TestCase1,Chrome 90.0.4430.212,,,2021-05-29 20:48:37,2021-05-29 20:49:17,39.552s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 20:48:38,2021-05-29 20:48:40,2.091s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 20:48:40,2021-05-29 20:48:40,0.514s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), mattermost_id)",Chrome 90.0.4430.212,,,2021-05-29 20:48:40,2021-05-29 20:48:43,2.677s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), mattermost_pwd)",Chrome 90.0.4430.212,,,2021-05-29 20:48:43,2021-05-29 20:48:44,0.609s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-29 20:48:44,2021-05-29 20:48:44,0.500s,PASSED
"verifyElementPresent(findTestObject(""Page_Town Square - test-data-1 Mattermost/span_test-data-1_status status-edit edit""), 0)",Chrome 90.0.4430.212,,,2021-05-29 20:48:44,2021-05-29 20:49:17,32.731s,FAILED
,,,,,,,
Test Cases/CSV-TestCase1,Chrome 90.0.4430.212,,,2021-05-29 20:49:17,2021-05-29 20:49:54,36.716s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 20:49:17,2021-05-29 20:49:19,1.889s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 20:49:19,2021-05-29 20:49:19,0.497s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), mattermost_id)",Chrome 90.0.4430.212,,,2021-05-29 20:49:19,2021-05-29 20:49:21,1.777s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), mattermost_pwd)",Chrome 90.0.4430.212,,,2021-05-29 20:49:21,2021-05-29 20:49:22,0.557s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-29 20:49:22,2021-05-29 20:49:22,0.520s,PASSED
