Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CSV_TestSuite,Chrome 90.0.4430.212,,,2021-05-29 20:43:29,2021-05-29 20:46:08,2m - 39.179s,FAILED
,,,,,,,
Test Cases/CSV-TestCase1,Chrome 90.0.4430.212,,,2021-05-29 20:43:30,2021-05-29 20:44:09,38.854s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 20:43:30,2021-05-29 20:43:32,2.142s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 20:43:32,2021-05-29 20:43:33,0.481s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), mattermost_id)",Chrome 90.0.4430.212,,,2021-05-29 20:43:33,2021-05-29 20:43:36,2.918s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), mattermost_pwd)",Chrome 90.0.4430.212,,,2021-05-29 20:43:36,2021-05-29 20:43:36,0.575s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-29 20:43:36,2021-05-29 20:43:37,0.560s,PASSED
"verifyElementPresent(findTestObject(""Page_Town Square - test-data-1 Mattermost/span_test-data-1_status status-edit edit""), 0)",Chrome 90.0.4430.212,,,2021-05-29 20:43:37,2021-05-29 20:44:09,31.740s,FAILED
,,,,,,,
Test Cases/CSV-TestCase1,Chrome 90.0.4430.212,,,2021-05-29 20:44:09,2021-05-29 20:44:46,37.268s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 20:44:09,2021-05-29 20:44:11,2.066s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 20:44:11,2021-05-29 20:44:11,0.506s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), mattermost_id)",Chrome 90.0.4430.212,,,2021-05-29 20:44:11,2021-05-29 20:44:13,2.118s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), mattermost_pwd)",Chrome 90.0.4430.212,,,2021-05-29 20:44:13,2021-05-29 20:44:14,0.574s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-29 20:44:14,2021-05-29 20:44:14,0.580s,PASSED
"verifyElementPresent(findTestObject(""Page_Town Square - test-data-1 Mattermost/span_test-data-1_status status-edit edit""), 0)",Chrome 90.0.4430.212,,,2021-05-29 20:44:14,2021-05-29 20:44:46,31.410s,FAILED
,,,,,,,
Test Cases/CSV-TestCase1,Chrome 90.0.4430.212,,,2021-05-29 20:44:46,2021-05-29 20:45:23,37.360s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 20:44:46,2021-05-29 20:44:48,1.984s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 20:44:48,2021-05-29 20:44:48,0.604s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), mattermost_id)",Chrome 90.0.4430.212,,,2021-05-29 20:44:48,2021-05-29 20:44:50,2.010s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), mattermost_pwd)",Chrome 90.0.4430.212,,,2021-05-29 20:44:50,2021-05-29 20:44:51,0.613s,PASSED
