Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), ""Fp6aaTLpEhBjh92TM4bq0w=="")",Chrome 90.0.4430.212,,,2021-05-29 21:11:26,2021-05-29 21:11:26,0.539s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:26,2021-05-29 21:11:27,0.531s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/i_CtrlK_icon-plus""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:27,2021-05-29 21:11:28,1.722s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/span_Create New Channel""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:28,2021-05-29 21:11:29,0.563s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/input_Name_newChannelName""), channelName)",Chrome 90.0.4430.212,,,2021-05-29 21:11:29,2021-05-29 21:11:30,1.367s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/textarea_for testing purpose_1""), purpose)",Chrome 90.0.4430.212,,,2021-05-29 21:11:30,2021-05-29 21:11:31,0.949s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/textarea_header test_channel""), header)",Chrome 90.0.4430.212,,,2021-05-29 21:11:31,2021-05-29 21:11:32,0.890s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/span_Create Channel""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:32,2021-05-29 21:11:33,0.486s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-29 21:11:33,2021-05-29 21:11:33,0.640s,PASSED
,,,,,,,
Test Cases/CSV_TestCase2,Chrome 90.0.4430.212,,,2021-05-29 21:11:33,2021-05-29 21:11:45,11.548s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 21:11:33,2021-05-29 21:11:35,1.249s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 21:11:35,2021-05-29 21:11:35,0.447s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), ""lehuy2010"")",Chrome 90.0.4430.212,,,2021-05-29 21:11:35,2021-05-29 21:11:37,1.640s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), ""Fp6aaTLpEhBjh92TM4bq0w=="")",Chrome 90.0.4430.212,,,2021-05-29 21:11:37,2021-05-29 21:11:37,0.528s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:37,2021-05-29 21:11:38,0.495s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/i_CtrlK_icon-plus""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:38,2021-05-29 21:11:40,2.502s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/span_Create New Channel""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:40,2021-05-29 21:11:41,0.524s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/input_Name_newChannelName""), channelName)",Chrome 90.0.4430.212,,,2021-05-29 21:11:41,2021-05-29 21:11:42,1.043s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/textarea_for testing purpose_1""), purpose)",Chrome 90.0.4430.212,,,2021-05-29 21:11:42,2021-05-29 21:11:43,1.006s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/textarea_header test_channel""), header)",Chrome 90.0.4430.212,,,2021-05-29 21:11:43,2021-05-29 21:11:44,0.878s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/span_Create Channel""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:44,2021-05-29 21:11:44,0.480s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-29 21:11:44,2021-05-29 21:11:45,0.744s,PASSED
,,,,,,,
Test Cases/CSV_TestCase2,Chrome 90.0.4430.212,,,2021-05-29 21:11:45,2021-05-29 21:11:57,12.474s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 21:11:45,2021-05-29 21:11:46,1.239s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 21:11:46,2021-05-29 21:11:47,0.475s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), ""lehuy2010"")",Chrome 90.0.4430.212,,,2021-05-29 21:11:47,2021-05-29 21:11:49,2.182s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), ""Fp6aaTLpEhBjh92TM4bq0w=="")",Chrome 90.0.4430.212,,,2021-05-29 21:11:49,2021-05-29 21:11:49,0.611s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:49,2021-05-29 21:11:50,0.525s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/i_CtrlK_icon-plus""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:50,2021-05-29 21:11:52,2.368s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/span_Create New Channel""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:52,2021-05-29 21:11:53,0.630s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/input_Name_newChannelName""), channelName)",Chrome 90.0.4430.212,,,2021-05-29 21:11:53,2021-05-29 21:11:55,1.618s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/textarea_for testing purpose_1""), purpose)",Chrome 90.0.4430.212,,,2021-05-29 21:11:55,2021-05-29 21:11:55,0.857s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/textarea_header test_channel""), header)",Chrome 90.0.4430.212,,,2021-05-29 21:11:55,2021-05-29 21:11:56,0.814s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/span_Create Channel""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:56,2021-05-29 21:11:57,0.486s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-29 21:11:57,2021-05-29 21:11:57,0.653s,PASSED
,,,,,,,
Test Cases/CSV_TestCase2,Chrome 90.0.4430.212,,,2021-05-29 21:11:57,2021-05-29 21:12:09,11.706s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 21:11:57,2021-05-29 21:11:59,1.164s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 21:11:59,2021-05-29 21:11:59,0.453s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), ""lehuy2010"")",Chrome 90.0.4430.212,,,2021-05-29 21:11:59,2021-05-29 21:12:01,2.308s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), ""Fp6aaTLpEhBjh92TM4bq0w=="")",Chrome 90.0.4430.212,,,2021-05-29 21:12:01,2021-05-29 21:12:02,0.557s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-29 21:12:02,2021-05-29 21:12:02,0.515s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/i_CtrlK_icon-plus""))",Chrome 90.0.4430.212,,,2021-05-29 21:12:02,2021-05-29 21:12:04,2.040s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/span_Create New Channel""))",Chrome 90.0.4430.212,,,2021-05-29 21:12:04,2021-05-29 21:12:05,0.502s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/input_Name_newChannelName""), channelName)",Chrome 90.0.4430.212,,,2021-05-29 21:12:05,2021-05-29 21:12:06,1.235s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/textarea_for testing purpose_1""), purpose)",Chrome 90.0.4430.212,,,2021-05-29 21:12:06,2021-05-29 21:12:07,0.906s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/textarea_header test_channel""), header)",Chrome 90.0.4430.212,,,2021-05-29 21:12:07,2021-05-29 21:12:08,0.831s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/span_Create Channel""))",Chrome 90.0.4430.212,,,2021-05-29 21:12:08,2021-05-29 21:12:08,0.488s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-29 21:12:08,2021-05-29 21:12:09,0.698s,PASSED
