Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CSV_TestSuite,Chrome 90.0.4430.212,,,2021-05-29 21:11:04,2021-05-29 21:12:09,1m - 4.753s,PASSED
,,,,,,,
Test Cases/CSV_TestCase2,Chrome 90.0.4430.212,,,2021-05-29 21:11:05,2021-05-29 21:11:22,16.338s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 21:11:06,2021-05-29 21:11:08,2.487s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 21:11:08,2021-05-29 21:11:09,0.529s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), ""lehuy2010"")",Chrome 90.0.4430.212,,,2021-05-29 21:11:09,2021-05-29 21:11:11,2.710s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), ""Fp6aaTLpEhBjh92TM4bq0w=="")",Chrome 90.0.4430.212,,,2021-05-29 21:11:11,2021-05-29 21:11:12,0.628s,PASSED
"click(findTestObject(""Object Repository/Page_Mattermost/span_Sign in""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:12,2021-05-29 21:11:13,0.616s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/i_CtrlK_icon-plus""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:13,2021-05-29 21:11:16,3.235s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/span_Create New Channel""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:16,2021-05-29 21:11:16,0.549s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/input_Name_newChannelName""), channelName)",Chrome 90.0.4430.212,,,2021-05-29 21:11:16,2021-05-29 21:11:18,1.329s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/textarea_for testing purpose_1""), purpose)",Chrome 90.0.4430.212,,,2021-05-29 21:11:18,2021-05-29 21:11:19,0.851s,PASSED
"setText(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/textarea_header test_channel""), header)",Chrome 90.0.4430.212,,,2021-05-29 21:11:19,2021-05-29 21:11:20,1.673s,PASSED
"click(findTestObject(""Object Repository/Page_Town Square - test-data-1 Mattermost/span_Create Channel""))",Chrome 90.0.4430.212,,,2021-05-29 21:11:20,2021-05-29 21:11:21,0.568s,PASSED
closeBrowser(),Chrome 90.0.4430.212,,,2021-05-29 21:11:21,2021-05-29 21:11:22,0.728s,PASSED
,,,,,,,
Test Cases/CSV_TestCase2,Chrome 90.0.4430.212,,,2021-05-29 21:11:22,2021-05-29 21:11:33,11.570s,PASSED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 21:11:22,2021-05-29 21:11:23,1.164s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 21:11:23,2021-05-29 21:11:23,0.440s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), ""lehuy2010"")",Chrome 90.0.4430.212,,,2021-05-29 21:11:23,2021-05-29 21:11:26,2.249s,PASSED
