Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CSV_TestSuite,Chrome 90.0.4430.212,,,2021-05-29 20:30:39,2021-05-29 20:31:08,28.287s,FAILED
,,,,,,,
Test Cases/CSV-TestCase1,Chrome 90.0.4430.212,,,2021-05-29 20:30:40,2021-05-29 20:30:47,6.680s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 20:30:41,2021-05-29 20:30:43,2.371s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 20:30:43,2021-05-29 20:30:44,0.645s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), mattermost_id)",Chrome 90.0.4430.212,,,2021-05-29 20:30:44,2021-05-29 20:30:47,2.828s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), mattermost_pwd)",Chrome 90.0.4430.212,,,2021-05-29 20:30:47,2021-05-29 20:30:47,0.303s,FAILED
,,,,,,,
Test Cases/CSV-TestCase1,Chrome 90.0.4430.212,,,2021-05-29 20:30:47,2021-05-29 20:30:53,5.708s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 20:30:47,2021-05-29 20:30:49,2.018s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 20:30:49,2021-05-29 20:30:50,0.521s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), mattermost_id)",Chrome 90.0.4430.212,,,2021-05-29 20:30:50,2021-05-29 20:30:53,2.901s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), mattermost_pwd)",Chrome 90.0.4430.212,,,2021-05-29 20:30:53,2021-05-29 20:30:53,0.251s,FAILED
,,,,,,,
Test Cases/CSV-TestCase1,Chrome 90.0.4430.212,,,2021-05-29 20:30:53,2021-05-29 20:30:58,4.833s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 20:30:53,2021-05-29 20:30:55,1.870s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 20:30:55,2021-05-29 20:30:55,0.633s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), mattermost_id)",Chrome 90.0.4430.212,,,2021-05-29 20:30:55,2021-05-29 20:30:58,2.161s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), mattermost_pwd)",Chrome 90.0.4430.212,,,2021-05-29 20:30:58,2021-05-29 20:30:58,0.158s,FAILED
,,,,,,,
Test Cases/CSV-TestCase1,Chrome 90.0.4430.212,,,2021-05-29 20:30:58,2021-05-29 20:31:02,4.589s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 20:30:58,2021-05-29 20:31:00,1.886s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 20:31:00,2021-05-29 20:31:00,0.528s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), mattermost_id)",Chrome 90.0.4430.212,,,2021-05-29 20:31:00,2021-05-29 20:31:02,2.001s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), mattermost_pwd)",Chrome 90.0.4430.212,,,2021-05-29 20:31:02,2021-05-29 20:31:02,0.165s,FAILED
,,,,,,,
Test Cases/CSV-TestCase1,Chrome 90.0.4430.212,,,2021-05-29 20:31:02,2021-05-29 20:31:08,5.430s,FAILED
"openBrowser("""")",Chrome 90.0.4430.212,,,2021-05-29 20:31:02,2021-05-29 20:31:04,1.925s,PASSED
"navigateToUrl(""http://localhost:8065/login"")",Chrome 90.0.4430.212,,,2021-05-29 20:31:04,2021-05-29 20:31:05,0.484s,PASSED
"setText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _dcc84b""), mattermost_id)",Chrome 90.0.4430.212,,,2021-05-29 20:31:05,2021-05-29 20:31:08,2.744s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Mattermost/input_All team communication in one place, _a3edc6""), mattermost_pwd)",Chrome 90.0.4430.212,,,2021-05-29 20:31:08,2021-05-29 20:31:08,0.266s,FAILED
